id	task_id	attempt_id	prompt_tokens	completion_tokens	cached_tokens	created_at
1	1	1	321	835		unix:1783139017.236487776Z
2	1	2	345	707		unix:1783139050.274092748Z
3	1	3				unix:1783139365.294888718Z
4	1	4				unix:1783139680.309164679Z
5	1	5				unix:1783139995.331368205Z
6	1	6				unix:1783140310.353631782Z
7	1	7				unix:1783140625.375718771Z
8	1	8				unix:1783140940.395731514Z
9	1	9				unix:1783141255.417900502Z
10	1	10				unix:1783141570.439652647Z
11	1	11				unix:1783141885.459075233Z
