field	value
source_commit	173775669da54fefbaef9bcb459e71ca55674692
scenario	daily-life-recall
scenario_sha256	sha256:8835f879e984ccec48b04bc33f1f41a5daf7de8e70a24c4a9ac4e63a64415b3f
binary_sha256	sha256:d584151ae112aa5be4a69772b7143f213b12a4edd0bb5fca96d220aabeb614fa
mode	run
semantic_status	evaluated
outcome	failed
semantic_detail	measured-native-facts
duration_seconds	903
provider_exchange_count	38
activity_count	52
command_count	1
command_capture_sha256	sha256:13193a54d8e6d9372c0cf4b02c333a316b864786c83b91528d0ebd0da9389a7e
workspace_before_sha256	sha256:cc5c0e4a58d4403dacf0ec0ccaf774230f548c6ca88b8a7f6ce58ce6a179d30c
workspace_after_sha256	sha256:9dd771448943338be75adbedbb7adbc161c016f249e3fb1003c3c48771cef2e5
workspace_diff_sha256	sha256:f453306906f10db6743c2521a4292626a3a10e2b6c8e1da7576fe8a936704701
measured_owner_turn_count	5
measured_runtime_decision_count	38
measured_progress_decision_count	3
measured_useful_decision_count	38
measured_provider_exchange_count	38
measured_activity_count	52
fact_journal_path	life/journal/2026/07/13/entry.md
fact_journal_revision_id	revision-cf2d14d7b2f9ff7be4b2dbde
fact_journal_sha256	sha256:6c125bbaa66a4f7cf0606899459df7fa326cbfef01db331fa8fd3abf199c4913
fact_journal_token_units	286
fact_journal_placeholder_count	0
fact_journal_lineage_count	4
fact_journal_grounded_owner_fact_count	0
fact_memory_current_revision_id	
fact_memory_grounded_correction_count	0
fact_initial_recall_context_count	0
fact_relevant_recall_context_count	0
fact_correction_memory_context_count	0
fact_noise_recall_context_count	0
fact_stale_memory_context_count	0
fact_rogue_memory_context_count	0
