field	value
source_commit	1d85efa79bda2ad0b13c4fbc073379b5d19ef398
scenario	daily-life-recall
scenario_sha256	sha256:9385610f256096637ff774869704c49aa6c0fda935a006193ecbbf6406aef65a
binary_sha256	sha256:e184e0b6b1b0870ef89a9b60383e944ed86679f5f3496a9388768b37c22b278d
mode	run
semantic_status	evaluated
outcome	failed
semantic_detail	measured-native-facts
duration_seconds	903
provider_exchange_count	33
activity_count	52
command_count	1
command_capture_sha256	sha256:6c7ed97024653bf0aac69ea2010c0dc927a3d2d05c52177ffac977acce8fcf0a
workspace_before_sha256	sha256:cc5c0e4a58d4403dacf0ec0ccaf774230f548c6ca88b8a7f6ce58ce6a179d30c
workspace_after_sha256	sha256:8a3f0c6be80342b5a071caa63f0a683170cfba55b73bacb7fb7928f0084f2b91
workspace_diff_sha256	sha256:6498190a09af12cab243443921d87a4b69498b353c2959cb858ec4ecb513d458
measured_owner_turn_count	5
measured_runtime_decision_count	33
measured_progress_decision_count	3
measured_useful_decision_count	33
measured_provider_exchange_count	33
measured_activity_count	52
fact_journal_path	life/journal/2026/07/13/entry.md
fact_journal_revision_id	revision-048547e851e561282dc14f4d
fact_journal_sha256	sha256:83d11330ff5c87efd0393a51f826c1c971e0af98a11599372d86a9c58424fab2
fact_journal_token_units	244
fact_journal_placeholder_count	0
fact_journal_lineage_count	2
fact_journal_grounded_owner_fact_count	1
fact_memory_current_revision_id	revision-fda401f370e2ce1505eb0131
fact_memory_grounded_correction_count	0
fact_initial_recall_context_count	1
fact_relevant_recall_context_count	1
fact_correction_memory_context_count	0
fact_noise_recall_context_count	0
fact_stale_memory_context_count	0
fact_rogue_memory_context_count	8
