field	value
source_commit	2f2d0bb2aa3726cdb8005695988a972a94b25c20
scenario	long-artifact-recovery
scenario_sha256	sha256:32cb2767831a07c2fef1b153656f20dfe8d6c1caf93dde318865a1b5501d84de
binary_sha256	sha256:0c164d252ff811fa1bb2ee9b1a480a60a122ed64f0fc3da1c9fed05a09517176
mode	run
semantic_status	evaluated
outcome	failed
semantic_detail	measured-native-facts
duration_seconds	3603
provider_exchange_count	23
activity_count	34
command_count	1
command_capture_sha256	sha256:f0e7d0dc56f212c69144967a14091f8575102fc7ff92d8d2e994f93810a9b5e0
workspace_before_sha256	sha256:48726a6bdf721dcef7b74f9774f6d7b403ced0b94e67b83faa66c134c46a77b9
workspace_after_sha256	sha256:5f342adcf50127c6c5f6fecd8b0d7b9bebfc8650aaf9deab8bbd4d88b8f6a6a7
workspace_diff_sha256	sha256:7d950781dc62ba0b1a9210991c2f766739e8f043c2c3593ae95cd2565d96d525
measured_owner_turn_count	5
measured_runtime_decision_count	23
measured_progress_decision_count	2
measured_useful_decision_count	23
measured_provider_exchange_count	23
measured_activity_count	34
fact_artifact_readme_path	artifacts/documents/world-history/README.md
fact_artifact_child_link_fingerprint	sha256:e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
fact_artifact_child_count	0
fact_readme_link_count	12
fact_nonplaceholder_unit_count	1
fact_empty_unit_count	0
fact_aggregate_word_count	0
fact_source_lineage_count	2
fact_current_revision_count	1
fact_report_current_check_count	1
fact_output_limit_recovery_count	11
fact_strategy_change_count	2
fact_truncated_revision_count	0
fact_restart_resume_count	1
fact_early_completion_count	0
