field	value
source_commit	3122c71730713ca2df5e2c818c5a8c59d86f57ab
scenario	daily-life-recall
scenario_sha256	sha256:8835f879e984ccec48b04bc33f1f41a5daf7de8e70a24c4a9ac4e63a64415b3f
binary_sha256	sha256:89671bed060650f029d49c5c10541c21dbd0f260d854ca88e7a36f9a22767893
mode	run
semantic_status	evaluated
outcome	failed
semantic_detail	measured-native-facts
duration_seconds	903
provider_exchange_count	28
activity_count	42
command_count	1
command_capture_sha256	sha256:06aa2f8d40176e09f308c2ddf4d1ac9f6d0237ea0e6bf4579e71e6abc1769a1b
workspace_before_sha256	sha256:cc5c0e4a58d4403dacf0ec0ccaf774230f548c6ca88b8a7f6ce58ce6a179d30c
workspace_after_sha256	sha256:6fd33e37ecf5a79109ed88861cac920636c481e7d8c54cdd5032c56572cf9d9c
workspace_diff_sha256	sha256:576c10984d82a18be57918c2cb7073558d17b44973fb4523b8c95d9e417ecf02
measured_owner_turn_count	5
measured_runtime_decision_count	28
measured_progress_decision_count	3
measured_useful_decision_count	28
measured_provider_exchange_count	28
measured_activity_count	42
fact_journal_path	life/journal/2026/07/13/entry.md
fact_journal_revision_id	revision-cc7d6f7c52a609a6f1dc4af0
fact_journal_sha256	sha256:2103694315732511c987bd0b792b05b993493c700f2269f37fcc7f07340ffec3
fact_journal_token_units	286
fact_journal_placeholder_count	0
fact_journal_lineage_count	4
fact_journal_grounded_owner_fact_count	0
fact_memory_current_revision_id	
fact_memory_grounded_correction_count	0
fact_initial_recall_context_count	0
fact_relevant_recall_context_count	0
fact_correction_memory_context_count	0
fact_noise_recall_context_count	0
fact_stale_memory_context_count	0
fact_rogue_memory_context_count	0
