field	value
source_commit	3905b10dddaae4dec55789c66c71b2d7ad3b8a94
scenario	exact-file-edit
scenario_sha256	sha256:c244c73716fa4211f495773cf19ae139f97b62bf07c23aa31743d8685fff3db5
binary_sha256	sha256:e184e0b6b1b0870ef89a9b60383e944ed86679f5f3496a9388768b37c22b278d
mode	run
semantic_status	evaluated
outcome	failed
semantic_detail	measured-native-facts
duration_seconds	903
provider_exchange_count	22
activity_count	31
command_count	1
command_capture_sha256	sha256:b0459772e69c59c64db682cba495f1d1463b2f82c3ed6f121d0e083ec2c0ac36
workspace_before_sha256	sha256:bfeab01e71415dcfc301987594f71dc8b585a0a2c94e31cd251b3de2165aa2c1
workspace_after_sha256	sha256:9caf7409f0793f8b8be0adf57f3d0b741d7a4bf3b5bce3999822e8b2a4f4e156
workspace_diff_sha256	sha256:390d4dbfd2228ff9e8e38d0dd09dce9895c00c7ec7764bea3ea5923d81543c2e
measured_owner_turn_count	6
measured_runtime_decision_count	22
measured_progress_decision_count	2
measured_useful_decision_count	22
measured_provider_exchange_count	22
measured_activity_count	31
fact_exact_path	notes/exact-base.txt
fact_exact_sha256	sha256:4c0db7b7b7f1d3587a3de74449edd345d1f89c422174bf9f5477afc071f21a3b
fact_created_path	notes/created-proof.txt
fact_created_sha256	sha256:8ee25a1677349a21a8cd12e23a3a6895c9425cf348809c39c04fb2e0fae8a43f
fact_workspace_file_count	2
fact_changed_path_fingerprint	sha256:fae50cc914e04090c650e2ddd3d531268b763f7db3a03f260324007148b87cc4
fact_changed_path_count	2
fact_first_effect_path	notes/exact-base.txt
fact_edit_prior_sha256	sha256:815e7431f24b4cf97ee22971cf9344009221ccc4cad58b833e2ea821b873c9b1
fact_edit_intended_sha256	sha256:4c0db7b7b7f1d3587a3de74449edd345d1f89c422174bf9f5477afc071f21a3b
fact_edit_prior_mode	420
fact_edit_intended_mode	420
fact_edit_current_mode	420
fact_create_prior_absent_count	0
fact_create_effect_count	0
fact_edit_effect_count	1
fact_closed_matter_count	1
fact_agent_message_count	1
fact_receipt_count	1
fact_current_passed_check_count	7
fact_effect_count	2
fact_tool_admission_count	13
fact_table_count	0
