field	value
source_commit	52af189ab7f9b17a144baf92f8a57ba911c9c872
scenario	daily-life-recall
scenario_sha256	sha256:9385610f256096637ff774869704c49aa6c0fda935a006193ecbbf6406aef65a
binary_sha256	sha256:e184e0b6b1b0870ef89a9b60383e944ed86679f5f3496a9388768b37c22b278d
mode	run
semantic_status	evaluated
outcome	failed
semantic_detail	measured-native-facts
duration_seconds	903
provider_exchange_count	10
activity_count	25
command_count	1
command_capture_sha256	sha256:ba6964796b6160376f30a2ee2fc630ec59dcf766a86291d39942c611699b7fe7
workspace_before_sha256	sha256:cc5c0e4a58d4403dacf0ec0ccaf774230f548c6ca88b8a7f6ce58ce6a179d30c
workspace_after_sha256	sha256:600dad8cc12362f68bc9368ddee91f9c231d5c710174e7056749dfd867b6bcc0
workspace_diff_sha256	sha256:f28fa7f3c597722872246c1b0dd7a45d903a0492da22226ce89ddff42523eee1
measured_owner_turn_count	5
measured_runtime_decision_count	10
measured_progress_decision_count	3
measured_useful_decision_count	10
measured_provider_exchange_count	10
measured_activity_count	25
fact_journal_path	life/journal/2026/07/13/entry.md
fact_journal_revision_id	revision-fe7e25a580ce12917d09a6dc
fact_journal_sha256	sha256:580ac7bd557c044a2911eeb2a17369cfe753365b72682a8fb385e262bba8b6b9
fact_journal_token_units	258
fact_journal_placeholder_count	0
fact_journal_lineage_count	3
fact_journal_grounded_owner_fact_count	1
fact_memory_current_revision_id	revision-5e22205c080df8056c905724
fact_memory_grounded_correction_count	1
fact_initial_recall_context_count	0
fact_relevant_recall_context_count	0
fact_correction_memory_context_count	0
fact_noise_recall_context_count	0
fact_stale_memory_context_count	0
fact_rogue_memory_context_count	0
