field	value
source_commit	52fa7af0eabf509fd8477637637480b0675b287e
scenario	multi-project-development
scenario_sha256	sha256:e7879d257abaa039657fa110ec04d08a730e3dfaf3b5575d332c2a285fd094a0
binary_sha256	sha256:5bad63dc6acf42e48880a10befb36e23c91646d0ab277b988651b8d64fe08c14
mode	run
semantic_status	evaluated
outcome	failed
semantic_detail	measured-native-facts
duration_seconds	903
provider_exchange_count	69
activity_count	78
command_count	1
command_capture_sha256	sha256:23a5e27b6e7dbd2532e2181f39810982cff88b720ba230d0a380be7eb9e4bf8d
workspace_before_sha256	sha256:04a457891bcf6a3c7cbabae91a7b5404d99773822889f283b29f841954b78eb6
workspace_after_sha256	sha256:13cacf23df13c7771e46b0c93e7deeae8cf839d2b9bc9ea7f29edad72db4310d
workspace_diff_sha256	sha256:174b4760f633f1c4f494339c4a3b9c79b63e0dcc6c718d13d10f33fd73fb301c
measured_owner_turn_count	5
measured_runtime_decision_count	69
measured_progress_decision_count	1
measured_useful_decision_count	69
measured_provider_exchange_count	69
measured_activity_count	78
fact_orbit_revision_id	
fact_orbital_revision_id	
fact_orbit_in_orbital_context_count	0
fact_orbital_in_orbit_context_count	0
fact_changed_path_fingerprint	sha256:b5607bd300173257195ed82e4464ba2391c8eaf62cdb35c53d85f2d7f6d8af9f
fact_changed_path_count	1
fact_current_passed_check_count	8
fact_restart_resume_count	1
fact_duplicate_effect_count	0
