field	value
source_commit	581c93954e289764baa98b013c1bd89d3bd1ef25
scenario	long-artifact-recovery
scenario_sha256	sha256:5d6fe7094a3a5567bdbf45bc4f645d62ba5f164e4ac7c2bc1d9d0c75cac71164
binary_sha256	sha256:af15f4e055ee2b428b2e78fb7e00be9fcd158ca746cdc60d99bd41ad6d18cc7e
mode	run
semantic_status	evaluated
outcome	failed
semantic_detail	measured-native-facts
duration_seconds	903
provider_exchange_count	14
activity_count	25
command_count	1
command_capture_sha256	sha256:f74eb621c05a4b7fe92e4d727869eeea277d1a53a0e0558f7e5f48e54cc4fd6c
workspace_before_sha256	sha256:0ba86f50be54279545f84b2bc916ca2215808f14eeb96ac5ce4cad4901c53c26
workspace_after_sha256	sha256:69ccb277dd4fa6b5ecbb220239649a55c03fe8ae63ef0cf236550d734c82a1a8
workspace_diff_sha256	sha256:6434dd149426442f0873c3134491fa932177e533b0196eb46d6c3c85c324b810
measured_owner_turn_count	5
measured_runtime_decision_count	14
measured_progress_decision_count	2
measured_useful_decision_count	14
measured_provider_exchange_count	14
measured_activity_count	25
fact_artifact_readme_path	artifacts/documents/world-history/README.md
fact_artifact_child_link_fingerprint	sha256:e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
fact_artifact_child_count	0
fact_readme_link_count	8
fact_nonplaceholder_unit_count	1
fact_empty_unit_count	0
fact_aggregate_word_count	0
fact_source_lineage_count	2
fact_current_revision_count	1
fact_report_current_check_count	1
fact_output_limit_recovery_count	3
fact_strategy_change_count	2
fact_truncated_revision_count	0
fact_restart_resume_count	1
fact_early_completion_count	0
