field	value
source_commit	5c641c33573516c01276741fea0237d5d53b9339
scenario	daily-life-recall
scenario_sha256	sha256:9385610f256096637ff774869704c49aa6c0fda935a006193ecbbf6406aef65a
binary_sha256	sha256:e184e0b6b1b0870ef89a9b60383e944ed86679f5f3496a9388768b37c22b278d
mode	run
semantic_status	evaluated
outcome	passed
semantic_detail	measured-native-facts
duration_seconds	903
provider_exchange_count	25
activity_count	44
command_count	1
command_capture_sha256	sha256:34f6a21193980a4edb0ff0525b6a8e038e9082b7bca9f29cf64a1b78dfcee875
workspace_before_sha256	sha256:cc5c0e4a58d4403dacf0ec0ccaf774230f548c6ca88b8a7f6ce58ce6a179d30c
workspace_after_sha256	sha256:51324ce7e5b5b252dcc18a6845adcd2d9eca05b9c47f6074f6947838aafa5170
workspace_diff_sha256	sha256:1af78daa97b5dd96b1f96c05382edbe5646a656c872e88f7cb0dbf88d040d269
measured_owner_turn_count	5
measured_runtime_decision_count	25
measured_progress_decision_count	3
measured_useful_decision_count	25
measured_provider_exchange_count	25
measured_activity_count	44
fact_journal_path	life/journal/2026/07/13/entry.md
fact_journal_revision_id	revision-1129a03764496c93048da6bf
fact_journal_sha256	sha256:9a764ecafabd8be75be18d45ea26d551f8cbb5a7755fc86d69835f380372ea3b
fact_journal_token_units	244
fact_journal_placeholder_count	0
fact_journal_lineage_count	2
fact_journal_grounded_owner_fact_count	1
fact_memory_current_revision_id	revision-5e22205c080df8056c905724
fact_memory_grounded_correction_count	1
fact_initial_recall_context_count	1
fact_relevant_recall_context_count	1
fact_correction_memory_context_count	0
fact_noise_recall_context_count	0
fact_stale_memory_context_count	0
fact_rogue_memory_context_count	0
