field	value
source_commit	680969f493603858f8a58e5c0865a7194f6baaad
scenario	daily-life-recall
scenario_sha256	sha256:08bbe168a2d32c238ec813aa8b59d20bf332bef96c4df18670a74997b0dc07cf
binary_sha256	sha256:b936d103cee1b38a6c0add414422b4c970fd736196f90fbe6b13d4a9b388298f
mode	run
semantic_status	evaluated
outcome	failed
semantic_detail	measured-native-facts
duration_seconds	903
provider_exchange_count	12
activity_count	35
command_count	1
command_capture_sha256	sha256:daa66539b3ae086b46183bfe57463fcb421b5628b6a5e55b0d9d4da8ad494507
workspace_before_sha256	sha256:cc5c0e4a58d4403dacf0ec0ccaf774230f548c6ca88b8a7f6ce58ce6a179d30c
workspace_after_sha256	sha256:b014dd41ab9919294ba5b5b02baccddcf5e302b39cdbcc8e0348cdab2c14dca0
workspace_diff_sha256	sha256:47da5804b01acf11d8efa2397689722f5c4af838fb85ab77b9c5681cd43632e4
measured_owner_turn_count	5
measured_runtime_decision_count	12
measured_progress_decision_count	4
measured_useful_decision_count	12
measured_provider_exchange_count	12
measured_activity_count	35
fact_journal_path	life/journal/2026/07/14/entry.md
fact_journal_revision_id	revision-a44e6258e4d240ab410e7af1
fact_journal_sha256	sha256:487cfdcb6a03135f051962895954206bdbefb99330ab302b1db8950f927908da
fact_journal_token_units	271
fact_journal_placeholder_count	0
fact_journal_lineage_count	3
fact_journal_grounded_owner_fact_count	1
fact_memory_current_revision_id	revision-5e22205c080df8056c905724
fact_memory_grounded_correction_count	1
fact_initial_recall_context_count	0
fact_relevant_recall_context_count	1
fact_correction_memory_context_count	0
fact_noise_recall_context_count	0
fact_stale_memory_context_count	0
fact_rogue_memory_context_count	0
