field	value
source_commit	689b48ec577e35315f632d5ab008f8eb9218ab18
scenario	exact-file-edit
scenario_sha256	sha256:f6013000237d3e4c963ad3f95e3d4428a89e9bbca738131d6b222c1dc78580db
binary_sha256	sha256:527030e3d355b178bc98b36707e2d9a708a504ef57e5eac8e8939a330e40e303
mode	run
semantic_status	evaluated
outcome	passed
semantic_detail	file_exact=true;one_file=true;closed=4;owner=5;agent=4;passed_checks=12;effects=1;admissions=10;providers=24;tables=18
provider_exchange_count	24
activity_count	37
command_count	1
command_capture_sha256	sha256:9c43e84223210fc01c7f58b3f2845866987200c59a364d78f67bef9d88bbdeb5
workspace_before_sha256	sha256:bfeab01e71415dcfc301987594f71dc8b585a0a2c94e31cd251b3de2165aa2c1
workspace_after_sha256	sha256:ad381cd98f896aa2746cd32ac07b7d3fd42dd2f73b3d1d379f4a571c7c147f35
workspace_diff_sha256	sha256:0c447abc8e3e2e9cf6af7268571f44d8662c60f14cd8bd80db4fefe26cfbbd4e
