field	value
source_commit	715568da4101fa92a5603cf91630b1e9dc1f567b
scenario	slow-japanese-pty
scenario_sha256	sha256:828709ded9dc23855174298152232abfb97a17711b4288def3dcd399454e61c5
binary_sha256	sha256:b936d103cee1b38a6c0add414422b4c970fd736196f90fbe6b13d4a9b388298f
mode	run
semantic_status	evaluated
outcome	passed
semantic_detail	measured-native-facts
duration_seconds	901
provider_exchange_count	242
activity_count	251
command_count	1
command_capture_sha256	sha256:84cb8daa1f1faa76fc1718602a7309c6304e610ed8df51abd6623978863b4304
workspace_before_sha256	sha256:46433579ac73f4a4e24d31a9b225542a92e98c4649e48487586b3fb37cf5c6fd
workspace_after_sha256	sha256:2c8b6d00bd18b8dc53b0a9ab64a6efb09ee8f9b6e188dcf83a3f2d39df8b3c6b
workspace_diff_sha256	sha256:ce794b0271bc1d449cf24a5628392f908e69f78f4e2df06b9e473638971fe4be
measured_owner_turn_count	5
measured_runtime_decision_count	242
measured_progress_decision_count	1
measured_useful_decision_count	242
measured_provider_exchange_count	242
measured_activity_count	251
fact_cast_sha256	sha256:30fc4e038814810bc84b46aaafa854dd9e3b7454d0f8714c6c1dc1ad2c7ab794
fact_input_frame_count	9
fact_output_frame_count	129
fact_resize_count	3
fact_japanese_input_count	6
fact_search_input_count	1
fact_alternate_screen_enter_count	1
fact_alternate_screen_exit_count	2
fact_slow_call_interval_ms	2979
fact_message_identity_count	7
fact_duplicate_message_identity_count	0
fact_restart_resume_count	3
fact_activity_responsive_count	42
