field	value
source_commit	83750a9a678822055899695a32daee71cb97c971
scenario	daily-life-recall
scenario_sha256	sha256:8835f879e984ccec48b04bc33f1f41a5daf7de8e70a24c4a9ac4e63a64415b3f
binary_sha256	sha256:d53a34e93b826c0b19f3469ee169eb7ebb10900bd37a7e942fe3912b0b778278
mode	run
semantic_status	evaluated
outcome	failed
semantic_detail	measured-native-facts
duration_seconds	903
provider_exchange_count	52
activity_count	52
command_count	1
command_capture_sha256	sha256:ad77941786af92a4524cc6325bd54ede21ff2030eaf80e7bc5d69ce5b3589736
workspace_before_sha256	sha256:cc5c0e4a58d4403dacf0ec0ccaf774230f548c6ca88b8a7f6ce58ce6a179d30c
workspace_after_sha256	sha256:cc5c0e4a58d4403dacf0ec0ccaf774230f548c6ca88b8a7f6ce58ce6a179d30c
workspace_diff_sha256	sha256:3c64ed36761ef3abaf02642463b809d99180cd6d0760e02049b640d19f136faa
measured_owner_turn_count	5
measured_runtime_decision_count	52
measured_progress_decision_count	0
measured_useful_decision_count	52
measured_provider_exchange_count	52
measured_activity_count	52
fact_journal_path	
fact_journal_revision_id	
fact_journal_sha256	
fact_journal_token_units	0
fact_journal_placeholder_count	0
fact_journal_lineage_count	0
fact_journal_grounded_owner_fact_count	0
fact_memory_current_revision_id	
fact_memory_grounded_correction_count	0
fact_initial_recall_context_count	0
fact_relevant_recall_context_count	0
fact_correction_memory_context_count	0
fact_noise_recall_context_count	0
fact_stale_memory_context_count	0
fact_rogue_memory_context_count	0
