field	value
source_commit	83750a9a678822055899695a32daee71cb97c971
scenario	exact-file-edit
scenario_sha256	sha256:f6013000237d3e4c963ad3f95e3d4428a89e9bbca738131d6b222c1dc78580db
binary_sha256	sha256:d53a34e93b826c0b19f3469ee169eb7ebb10900bd37a7e942fe3912b0b778278
mode	probe
semantic_status	not-evaluated
outcome	not-evaluated
semantic_detail	probe-only
duration_seconds	0
provider_exchange_count	1
activity_count	1
command_count	2
command_capture_sha256	sha256:bcd9edb31d0032046828ca82addb2c047fa1580e1dffe89390e825806ed1d9e6
workspace_before_sha256	sha256:bfeab01e71415dcfc301987594f71dc8b585a0a2c94e31cd251b3de2165aa2c1
workspace_after_sha256	sha256:bfeab01e71415dcfc301987594f71dc8b585a0a2c94e31cd251b3de2165aa2c1
workspace_diff_sha256	sha256:3c64ed36761ef3abaf02642463b809d99180cd6d0760e02049b640d19f136faa
