field	value
source_commit	867081cc4448d7117c01f59c7abea43886c22574
scenario	daily-life-recall
scenario_sha256	sha256:a5003dd36cd85dd85c174a000573cb9b323ce63de4321e2a6d4e1c88aca46fd7
binary_sha256	sha256:e184e0b6b1b0870ef89a9b60383e944ed86679f5f3496a9388768b37c22b278d
mode	run
semantic_status	evaluated
outcome	failed
semantic_detail	measured-native-facts
duration_seconds	903
provider_exchange_count	31
activity_count	55
command_count	1
command_capture_sha256	sha256:6a85b6c212cf7ade336f3b04f2e68937ebc6c92683aa549ef9094c509dabadb6
workspace_before_sha256	sha256:cc5c0e4a58d4403dacf0ec0ccaf774230f548c6ca88b8a7f6ce58ce6a179d30c
workspace_after_sha256	sha256:def83b309eb72b53dfd9ccacb501ab37ffe633e02423af0f7efdc7f967da662c
workspace_diff_sha256	sha256:73f32dd4a2e41cf3ce451b1f506b21e2ec185b5d336f867a15084da06257df14
measured_owner_turn_count	5
measured_runtime_decision_count	31
measured_progress_decision_count	4
measured_useful_decision_count	31
measured_provider_exchange_count	31
measured_activity_count	55
fact_journal_path	life/journal/2026/07/13/entry.md
fact_journal_revision_id	revision-b525ac899d5784949bafc0d6
fact_journal_sha256	sha256:a4cafaff7161126a3b44fcf9430fe73d1bb1c0798c47da9644bfd9e3eae6b336
fact_journal_token_units	352
fact_journal_placeholder_count	0
fact_journal_lineage_count	6
fact_journal_grounded_owner_fact_count	0
fact_memory_current_revision_id	revision-5e22205c080df8056c905724
fact_memory_grounded_correction_count	1
fact_initial_recall_context_count	1
fact_relevant_recall_context_count	0
fact_correction_memory_context_count	0
fact_noise_recall_context_count	0
fact_stale_memory_context_count	0
fact_rogue_memory_context_count	0
