field	value
source_commit	98f94455f60f8aa6bc3179f95cea0604ca0fe09c
scenario	daily-life-recall
scenario_sha256	sha256:cb3792a19352374167ee43524f071797393fbf77e02748369031d2367e78e635
binary_sha256	sha256:e184e0b6b1b0870ef89a9b60383e944ed86679f5f3496a9388768b37c22b278d
mode	run
semantic_status	evaluated
outcome	failed
semantic_detail	measured-native-facts
duration_seconds	903
provider_exchange_count	27
activity_count	46
command_count	1
command_capture_sha256	sha256:6973b8ee513a85e8d8e92ce36026f138b2965bdd781273b168b926385140898c
workspace_before_sha256	sha256:cc5c0e4a58d4403dacf0ec0ccaf774230f548c6ca88b8a7f6ce58ce6a179d30c
workspace_after_sha256	sha256:831d58fc9b4918c9c77cceae38baa52cd5d0f9e9ab849b408e1fef84763e52af
workspace_diff_sha256	sha256:c13cb45b1a7b26330d8bd61ceafc011aaaa02f26973bf35175b4013be093067a
measured_owner_turn_count	5
measured_runtime_decision_count	27
measured_progress_decision_count	3
measured_useful_decision_count	27
measured_provider_exchange_count	27
measured_activity_count	46
fact_journal_path	life/journal/2026/07/13/entry.md
fact_journal_revision_id	revision-523282823fcd3de590b570b5
fact_journal_sha256	sha256:e97231c4b294daefb4ec7f04bc704dbeb5d8a9e31f464c9ee679437d4c881c88
fact_journal_token_units	312
fact_journal_placeholder_count	0
fact_journal_lineage_count	5
fact_journal_grounded_owner_fact_count	1
fact_memory_current_revision_id	revision-5e22205c080df8056c905724
fact_memory_grounded_correction_count	1
fact_initial_recall_context_count	0
fact_relevant_recall_context_count	1
fact_correction_memory_context_count	0
fact_noise_recall_context_count	0
fact_stale_memory_context_count	0
fact_rogue_memory_context_count	0
