field	value
source_commit	a8709c33022dad7525eaa19538db80ff8d126867
scenario	multi-project-development
scenario_sha256	sha256:12a1c9b2b086193547cd44c79adc0a5a1fecb8aac7f8b0dc61d614f4c6386518
binary_sha256	sha256:5bad63dc6acf42e48880a10befb36e23c91646d0ab277b988651b8d64fe08c14
mode	run
semantic_status	evaluated
outcome	passed
semantic_detail	measured-native-facts
duration_seconds	903
provider_exchange_count	23
activity_count	41
command_count	1
command_capture_sha256	sha256:6dfba4366a3b595683e622005b5800fee95946aef2ccd0fec862845dfa43722f
workspace_before_sha256	sha256:04a457891bcf6a3c7cbabae91a7b5404d99773822889f283b29f841954b78eb6
workspace_after_sha256	sha256:436fe8d3562158d73b0c4476d374ad36fc2b8f6f8d6ae8896e3fc002c7b8371f
workspace_diff_sha256	sha256:ee50a390b22f2fe955c0afb003c9233947e431a57a1a132f1aa73c3b0f5595db
measured_owner_turn_count	5
measured_runtime_decision_count	23
measured_progress_decision_count	3
measured_useful_decision_count	23
measured_provider_exchange_count	23
measured_activity_count	41
fact_orbit_revision_id	revision-e3cad83481730c6f0c56c3b2
fact_orbital_revision_id	revision-40eb942daca4b35d7552593b
fact_orbit_in_orbital_context_count	0
fact_orbital_in_orbit_context_count	0
fact_changed_path_fingerprint	sha256:cdbb1b58cf5fae5b2190854477985d14244d20301b969b42d55f5a616053e6db
fact_changed_path_count	2
fact_current_passed_check_count	15
fact_restart_resume_count	2
fact_duplicate_effect_count	0
