field	value
development_source_commit	b6b391331700412e7888737ecc77349b3f6121e8
scenario	slow-japanese-pty
scenario_sha256	sha256:828709ded9dc23855174298152232abfb97a17711b4288def3dcd399454e61c5
binary_sha256	sha256:b936d103cee1b38a6c0add414422b4c970fd736196f90fbe6b13d4a9b388298f
mode	run
semantic_status	evaluated
outcome	passed
semantic_detail	measured-native-facts
duration_seconds	901
provider_exchange_count	294
activity_count	294
command_count	1
command_capture_sha256	sha256:82635db56fbef929ed07978826fee8b81f0529d441b8273db5d860ee3b9f20e5
workspace_before_sha256	sha256:46433579ac73f4a4e24d31a9b225542a92e98c4649e48487586b3fb37cf5c6fd
workspace_after_sha256	sha256:46433579ac73f4a4e24d31a9b225542a92e98c4649e48487586b3fb37cf5c6fd
workspace_diff_sha256	sha256:3c64ed36761ef3abaf02642463b809d99180cd6d0760e02049b640d19f136faa
measured_owner_turn_count	5
measured_runtime_decision_count	294
measured_progress_decision_count	0
measured_useful_decision_count	294
measured_provider_exchange_count	294
measured_activity_count	294
fact_cast_sha256	sha256:37c124c8ac5dc55d2ed210f82e04fef51805798d0a0dcb39a72cffbb549cf70e
fact_input_frame_count	9
fact_output_frame_count	128
fact_resize_count	3
fact_japanese_input_count	6
fact_search_input_count	1
fact_alternate_screen_enter_count	1
fact_alternate_screen_exit_count	1
fact_slow_call_interval_ms	3081
fact_message_identity_count	5
fact_duplicate_message_identity_count	0
fact_restart_resume_count	3
fact_activity_responsive_count	42
