field	value
source_commit	b050185239fc71705cccbf0fef5ccdbbccd9b193
scenario	slow-japanese-pty
scenario_sha256	sha256:828709ded9dc23855174298152232abfb97a17711b4288def3dcd399454e61c5
binary_sha256	sha256:b936d103cee1b38a6c0add414422b4c970fd736196f90fbe6b13d4a9b388298f
mode	run
semantic_status	evaluated
outcome	passed
semantic_detail	measured-native-facts
duration_seconds	901
provider_exchange_count	274
activity_count	287
command_count	1
command_capture_sha256	sha256:45401d3f2bd3da307cddb5c48c4d97e623d99963b284314b73501d8fca020848
workspace_before_sha256	sha256:46433579ac73f4a4e24d31a9b225542a92e98c4649e48487586b3fb37cf5c6fd
workspace_after_sha256	sha256:d0f6a7ef1c79db35cfb58bb1c476947c44ccc80ee9f2d109c2c7e41f896c42db
workspace_diff_sha256	sha256:ebbd3c0b46a0edbc4c9511f3e95958afc2c2615b5c38e82097962c136168a4d4
measured_owner_turn_count	5
measured_runtime_decision_count	274
measured_progress_decision_count	2
measured_useful_decision_count	274
measured_provider_exchange_count	274
measured_activity_count	287
fact_cast_sha256	sha256:9c211be964aacca81637419d3a123c4746cd62f5e6c6bee9ee3cb0fd3f6976be
fact_input_frame_count	9
fact_output_frame_count	128
fact_resize_count	3
fact_japanese_input_count	6
fact_search_input_count	1
fact_alternate_screen_enter_count	1
fact_alternate_screen_exit_count	1
fact_slow_call_interval_ms	9045
fact_message_identity_count	5
fact_duplicate_message_identity_count	0
fact_restart_resume_count	3
fact_activity_responsive_count	43
