field	value
source_commit	b852165fa3b1213f6ba09bc73c1ae9dd14ba740e
scenario	slow-japanese-pty
scenario_sha256	sha256:828709ded9dc23855174298152232abfb97a17711b4288def3dcd399454e61c5
binary_sha256	sha256:b936d103cee1b38a6c0add414422b4c970fd736196f90fbe6b13d4a9b388298f
mode	run
semantic_status	evaluated
outcome	failed
semantic_detail	measured-native-facts
duration_seconds	901
provider_exchange_count	83
activity_count	92
command_count	1
command_capture_sha256	sha256:b1c0908b585b25e34660ba6a67926b392f6daed4bb1a4efbce5b1f050f684471
workspace_before_sha256	sha256:46433579ac73f4a4e24d31a9b225542a92e98c4649e48487586b3fb37cf5c6fd
workspace_after_sha256	sha256:2f0a2275c31cc8b049b753cee803397ffcfdd70119bcb423aa9f9cbf4e5453d8
workspace_diff_sha256	sha256:3cfb8a3403c460835fdc02d2a9f65b4f5f414ee218fcbfd957306ab00be243bd
measured_owner_turn_count	4
measured_runtime_decision_count	83
measured_progress_decision_count	1
measured_useful_decision_count	83
measured_provider_exchange_count	83
measured_activity_count	92
fact_cast_sha256	
fact_input_frame_count	0
fact_output_frame_count	0
fact_resize_count	0
fact_japanese_input_count	0
fact_search_input_count	0
fact_alternate_screen_enter_count	0
fact_alternate_screen_exit_count	0
fact_slow_call_interval_ms	0
fact_message_identity_count	6
fact_duplicate_message_identity_count	0
fact_restart_resume_count	3
fact_activity_responsive_count	0
