field	value
source_commit	cb27f80114cc263db515242def059c91bcc2abef
scenario	daily-life-recall
scenario_sha256	sha256:ce0511218c19002b9e699bc084f35a12214e1799bbd9d0d6b54a04765077b9f2
binary_sha256	sha256:fee35997dd859efad5dd2291a84332715616eccd0b42d49d17a040529dfe72f1
mode	probe
semantic_status	not-evaluated
provider_exchange_count	1
activity_count	1
command_count	2
command_capture_sha256	sha256:1d19acdee58b9948eee45b14c61b0627dca70b39e074349e306a90e01d379dbe
workspace_before_sha256	sha256:cc5c0e4a58d4403dacf0ec0ccaf774230f548c6ca88b8a7f6ce58ce6a179d30c
workspace_after_sha256	sha256:5c78ce64a6dfd149ec2bf5c103f90a9bbe2503eef2960ae99192495f4a989a83
workspace_diff_sha256	sha256:ea0430318fc64c014be14281aa67ab1ce0b323f2bb4aa93eca0de8a5609415dd
