field	value
source_commit	d3d64f77a32658e4a7d59ddb78e0524520cb7c56
scenario	long-artifact-recovery
scenario_sha256	sha256:427dd9ac8d86494f33ff5a608fa0b4a4c7efbc2b49ff90ecc8fb495254d60d84
binary_sha256	sha256:f16cc0ec45dcf8841d5d0338e3b28b88ae28c5e32947638c22e21c9fa8e992af
mode	run
semantic_status	evaluated
outcome	failed
semantic_detail	measured-native-facts
duration_seconds	903
provider_exchange_count	11
activity_count	22
command_count	1
command_capture_sha256	sha256:3b6dd208b51d00cde74a439869b3a2d24550acfc6e5aaeb91de4d06b9b50af8e
workspace_before_sha256	sha256:48726a6bdf721dcef7b74f9774f6d7b403ced0b94e67b83faa66c134c46a77b9
workspace_after_sha256	sha256:3e0a9117ec8a5593f04ff986a238b34f312a8bb733485b99aab8f741aac36625
workspace_diff_sha256	sha256:e910d6252fbd5726462784c84e9924c9c5501d34bbb8552d991f753424f96e75
measured_owner_turn_count	5
measured_runtime_decision_count	11
measured_progress_decision_count	2
measured_useful_decision_count	11
measured_provider_exchange_count	11
measured_activity_count	22
fact_artifact_readme_path	artifacts/documents/world-history/README.md
fact_artifact_child_link_fingerprint	sha256:e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
fact_artifact_child_count	0
fact_readme_link_count	12
fact_nonplaceholder_unit_count	1
fact_empty_unit_count	0
fact_aggregate_word_count	0
fact_source_lineage_count	2
fact_current_revision_count	1
fact_report_current_check_count	1
fact_output_limit_recovery_count	3
fact_strategy_change_count	2
fact_truncated_revision_count	0
fact_restart_resume_count	1
fact_early_completion_count	0
