field	value
source_commit	d973f9c784832a736e8fd0ede8ec9b5411be4d91
scenario	slow-japanese-pty
scenario_sha256	sha256:828709ded9dc23855174298152232abfb97a17711b4288def3dcd399454e61c5
binary_sha256	sha256:b936d103cee1b38a6c0add414422b4c970fd736196f90fbe6b13d4a9b388298f
mode	run
semantic_status	evaluated
outcome	failed
semantic_detail	measured-native-facts
duration_seconds	901
provider_exchange_count	212
activity_count	217
command_count	1
command_capture_sha256	sha256:83b99349a6863a82b85986dc43a99222335e3f05ac8fabd9a90737b2a4be904f
workspace_before_sha256	sha256:46433579ac73f4a4e24d31a9b225542a92e98c4649e48487586b3fb37cf5c6fd
workspace_after_sha256	sha256:77f11e0cb42dcc075597d4bc5aa32c2e5af0c16688d92294ef71780995a51e71
workspace_diff_sha256	sha256:76df1ef9317059f33d5d3448136683cb5cc338526789de234d248378d6b6f90c
measured_owner_turn_count	5
measured_runtime_decision_count	212
measured_progress_decision_count	1
measured_useful_decision_count	212
measured_provider_exchange_count	212
measured_activity_count	217
fact_cast_sha256	sha256:13df1f9861129f9b5b1e0663eef8b9a07ba6bf1a29c7d5fe4f3c8ed61302c743
fact_input_frame_count	9
fact_output_frame_count	128
fact_resize_count	3
fact_japanese_input_count	6
fact_search_input_count	1
fact_alternate_screen_enter_count	1
fact_alternate_screen_exit_count	1
fact_slow_call_interval_ms	8991
fact_message_identity_count	6
fact_duplicate_message_identity_count	0
fact_restart_resume_count	3
fact_activity_responsive_count	0
