field	value
source_commit	dd1a083330828354b26f4f927e5be482f3e11f19
scenario	exact-file-edit
scenario_sha256	sha256:1a8bac4e0b51e4b10e73a29435c7239a540385c37a4afa6fe6205fc26a47895b
binary_sha256	sha256:b936d103cee1b38a6c0add414422b4c970fd736196f90fbe6b13d4a9b388298f
mode	run
semantic_status	evaluated
outcome	failed
semantic_detail	measured-native-facts
duration_seconds	903
provider_exchange_count	45
activity_count	68
command_count	1
command_capture_sha256	sha256:e318c8c52afb12f44efc7a7ac67a8492d8dccf7aadca2dbbb11c746411318c4a
workspace_before_sha256	sha256:bfeab01e71415dcfc301987594f71dc8b585a0a2c94e31cd251b3de2165aa2c1
workspace_after_sha256	sha256:c6607f4950aab9b1d85c54163bff6edbf943b1b801d67bc8a06bebba62238dbe
workspace_diff_sha256	sha256:b07def8da45d095261f6a1498e2e7f5c6bea07fe8a21a37e99fe1d95c147fa78
measured_owner_turn_count	6
measured_runtime_decision_count	45
measured_progress_decision_count	4
measured_useful_decision_count	45
measured_provider_exchange_count	45
measured_activity_count	68
fact_exact_path	notes/exact-base.txt
fact_exact_sha256	sha256:4c0db7b7b7f1d3587a3de74449edd345d1f89c422174bf9f5477afc071f21a3b
fact_created_path	notes/created-proof.txt
fact_created_sha256	sha256:8ee25a1677349a21a8cd12e23a3a6895c9425cf348809c39c04fb2e0fae8a43f
fact_workspace_file_count	3
fact_changed_path_fingerprint	sha256:8d662b6584da7c3cd678d1b203b9474c8c0f6b24b96f659451a9fb09f45e6d2e
fact_changed_path_count	3
fact_first_effect_path	notes/exact-base.txt
fact_edit_prior_sha256	sha256:815e7431f24b4cf97ee22971cf9344009221ccc4cad58b833e2ea821b873c9b1
fact_edit_intended_sha256	sha256:4c0db7b7b7f1d3587a3de74449edd345d1f89c422174bf9f5477afc071f21a3b
fact_edit_prior_mode	420
fact_edit_intended_mode	420
fact_edit_current_mode	420
fact_create_prior_absent_count	1
fact_create_effect_count	3
fact_edit_effect_count	1
fact_closed_matter_count	6
fact_agent_message_count	6
fact_receipt_count	6
fact_current_passed_check_count	19
fact_effect_count	4
fact_tool_admission_count	11
fact_table_count	18
