field	value
source_commit	f4d56693cf5153ee5881c19837469ad6318ad202
scenario	daily-life-recall
scenario_sha256	sha256:7f9c03662646949e2b6c04458beb2c8d71223d58bb1f403ee15aa3878e4feb00
binary_sha256	sha256:b936d103cee1b38a6c0add414422b4c970fd736196f90fbe6b13d4a9b388298f
mode	run
semantic_status	evaluated
outcome	passed
semantic_detail	measured-native-facts
duration_seconds	903
provider_exchange_count	11
activity_count	34
command_count	1
command_capture_sha256	sha256:c62b6832b4e5f811c965cb5c782e02b11116832bf4bb3971be6b63b5162428af
workspace_before_sha256	sha256:cc5c0e4a58d4403dacf0ec0ccaf774230f548c6ca88b8a7f6ce58ce6a179d30c
workspace_after_sha256	sha256:d2d27fbf41d94daeefc9d46428fab69f461815e12e11662918d246db1e76c2df
workspace_diff_sha256	sha256:8d12f6c605478ce222aeda3c41c204e5d30440442eed9467ffad0b3993e89b55
measured_owner_turn_count	5
measured_runtime_decision_count	11
measured_progress_decision_count	3
measured_useful_decision_count	11
measured_provider_exchange_count	11
measured_activity_count	34
fact_journal_path	life/journal/2026/07/14/entry.md
fact_journal_revision_id	revision-60df2971f8e0a2f362e4ca14
fact_journal_sha256	sha256:f05e003b6b421603ff373f57ec8b4af0532badbfd21ebc8e94562792ebe4a5b6
fact_journal_token_units	244
fact_journal_placeholder_count	0
fact_journal_lineage_count	2
fact_journal_grounded_owner_fact_count	1
fact_memory_current_revision_id	revision-5e22205c080df8056c905724
fact_memory_grounded_correction_count	1
fact_initial_recall_context_count	1
fact_relevant_recall_context_count	1
fact_correction_memory_context_count	0
fact_noise_recall_context_count	0
fact_stale_memory_context_count	0
fact_rogue_memory_context_count	0
