field	value
source_commit	f4d56693cf5153ee5881c19837469ad6318ad202
scenario	exact-file-edit
scenario_sha256	sha256:998f41465e9b1e87494ab0436d21d78beedad5433b1918cabce668bd0a08f915
binary_sha256	sha256:b936d103cee1b38a6c0add414422b4c970fd736196f90fbe6b13d4a9b388298f
mode	run
semantic_status	evaluated
outcome	passed
semantic_detail	measured-native-facts
duration_seconds	903
provider_exchange_count	15
activity_count	35
command_count	1
command_capture_sha256	sha256:5e68fa64e1d6e6e350ea6e93a776ead06bd3c293b4bcdcee494b4c3eda96cb61
workspace_before_sha256	sha256:bfeab01e71415dcfc301987594f71dc8b585a0a2c94e31cd251b3de2165aa2c1
workspace_after_sha256	sha256:d08662d016079844f70a39350361b803262339d24e5b8b92a632b98800ce884d
workspace_diff_sha256	sha256:a95fb470b7140e833f5f522d1b087203cf34ab05ab464e4e0ba6e5330c592a49
measured_owner_turn_count	6
measured_runtime_decision_count	15
measured_progress_decision_count	2
measured_useful_decision_count	15
measured_provider_exchange_count	15
measured_activity_count	35
fact_exact_path	notes/exact-base.txt
fact_exact_sha256	sha256:4c0db7b7b7f1d3587a3de74449edd345d1f89c422174bf9f5477afc071f21a3b
fact_created_path	notes/created-proof.txt
fact_created_sha256	sha256:8ee25a1677349a21a8cd12e23a3a6895c9425cf348809c39c04fb2e0fae8a43f
fact_workspace_file_count	2
fact_changed_path_fingerprint	sha256:385e07a05d148f3647860317124fec5bf2c2993ba50fd52bde4b8badf3dd0bed
fact_changed_path_count	2
fact_first_effect_path	notes/exact-base.txt
fact_edit_prior_sha256	sha256:815e7431f24b4cf97ee22971cf9344009221ccc4cad58b833e2ea821b873c9b1
fact_edit_intended_sha256	sha256:4c0db7b7b7f1d3587a3de74449edd345d1f89c422174bf9f5477afc071f21a3b
fact_edit_prior_mode	420
fact_edit_intended_mode	420
fact_edit_current_mode	420
fact_create_prior_absent_count	1
fact_create_effect_count	1
fact_edit_effect_count	1
fact_closed_matter_count	6
fact_agent_message_count	6
fact_receipt_count	6
fact_current_passed_check_count	18
fact_effect_count	2
fact_tool_admission_count	9
fact_table_count	18
