field	value
source_commit	f4d56693cf5153ee5881c19837469ad6318ad202
scenario	slow-japanese-pty
scenario_sha256	sha256:828709ded9dc23855174298152232abfb97a17711b4288def3dcd399454e61c5
binary_sha256	sha256:b936d103cee1b38a6c0add414422b4c970fd736196f90fbe6b13d4a9b388298f
mode	run
semantic_status	evaluated
outcome	passed
semantic_detail	measured-native-facts
duration_seconds	901
provider_exchange_count	295
activity_count	295
command_count	1
command_capture_sha256	sha256:159e2e460ee4ea3e11b9d04cd8c3df4d6f0b4f7bbfe141134b91e459352f6e02
workspace_before_sha256	sha256:46433579ac73f4a4e24d31a9b225542a92e98c4649e48487586b3fb37cf5c6fd
workspace_after_sha256	sha256:46433579ac73f4a4e24d31a9b225542a92e98c4649e48487586b3fb37cf5c6fd
workspace_diff_sha256	sha256:3c64ed36761ef3abaf02642463b809d99180cd6d0760e02049b640d19f136faa
measured_owner_turn_count	5
measured_runtime_decision_count	295
measured_progress_decision_count	0
measured_useful_decision_count	295
measured_provider_exchange_count	295
measured_activity_count	295
fact_cast_sha256	sha256:55730b031c5d7e485c19dcdf77febf6517c2b003501fde6f34064c7ef113589e
fact_input_frame_count	9
fact_output_frame_count	129
fact_resize_count	3
fact_japanese_input_count	6
fact_search_input_count	1
fact_alternate_screen_enter_count	1
fact_alternate_screen_exit_count	2
fact_slow_call_interval_ms	9068
fact_message_identity_count	5
fact_duplicate_message_identity_count	0
fact_restart_resume_count	3
fact_activity_responsive_count	43
