command_id	command	source_commit	exit_code	capture_sha256	measured_test_count	image_sha256	export_sha256
core-contracts	cargo test --locked -p lkjagent-core	f4d56693cf5153ee5881c19837469ad6318ad202	0	sha256:add41662549e4b5bbc87beabfca375d8b6a48c93be6dbaeb6030b6618309a850	70	na	na
effects-safety	cargo test --locked -p lkjagent-effects	f4d56693cf5153ee5881c19837469ad6318ad202	0	sha256:0662d10d8cc40ba28acd608da7e2c1a93e25eac30f165134eaf93c035e4ebdd4	11	na	na
store-boundaries	cargo test --locked -p lkjagent-store	f4d56693cf5153ee5881c19837469ad6318ad202	0	sha256:ef4a3f57dc2ef9f13071974fb74c4a48ceb196835cf795612011d13645a10b43	28	na	na
app-flows	cargo test --locked -p lkjagent-app	f4d56693cf5153ee5881c19837469ad6318ad202	0	sha256:8b86d529a7e32993c6021fd310b5e69a8c8867b1c3fb4a5cf95e40ada0529193	54	na	na
tui-contract	cargo test --locked -p lkjagent-app --test tui_contract	f4d56693cf5153ee5881c19837469ad6318ad202	0	sha256:822a28651276acb9a2313e85117177615e727de0782deac858623855992cf4c0	5	na	na
tui-native	cargo test --locked -p lkjagent-app --test tui_native --test tui_responsive --test tui_terminal_guard --test tui_pty	f4d56693cf5153ee5881c19837469ad6318ad202	0	sha256:611867c74780c798253d2c9d84c54ec52525ffd90bc96107ac400655767667f7	10	na	na
acceptance-negative	cargo test --locked -p lkjagent-xtask --test acceptance_negative	f4d56693cf5153ee5881c19837469ad6318ad202	0	sha256:006dfb2a71a9814a68e181deffe1c77deee64596f726b5df517d597c4517ff09	4	na	na
check-docs	cargo run --locked -p lkjagent-xtask -- check-docs	f4d56693cf5153ee5881c19837469ad6318ad202	0	sha256:c04cbff4483fc371d4c40c4ff9903a27349672cb8949100d6b44d4f107131aac	0	na	na
check-lines	cargo run --locked -p lkjagent-xtask -- check-lines	f4d56693cf5153ee5881c19837469ad6318ad202	0	sha256:1a54e9fbad75709f11562f26b0a577da171946efc3e419fdd30c27399cb3cb10	0	na	na
check-files	cargo run --locked -p lkjagent-xtask -- check-files	f4d56693cf5153ee5881c19837469ad6318ad202	0	sha256:c5232a11dbe7fd2d5893cb0e7e86e3c8e9d4eda01e57f853c1cd50744eef1661	0	na	na
check-style	cargo run --locked -p lkjagent-xtask -- check-style	f4d56693cf5153ee5881c19837469ad6318ad202	0	sha256:e7b835a128ad4eacf9003c4b9c6404290e3ef20db5de83320d5f2816c891f228	0	na	na
docs-authority	cargo run --locked -p lkjagent-xtask -- gate docs-authority	f4d56693cf5153ee5881c19837469ad6318ad202	0	sha256:d8448ee3c2944e4d306f9dd67d99f76f58e6f36e089b85ae329ce1e443630f54	0	na	na
evaluation-harness	cargo run --locked -p lkjagent-xtask -- gate evaluation-harness	f4d56693cf5153ee5881c19837469ad6318ad202	0	sha256:0d4f62a9da3a1efd0c17ee546ced9ce336f187c990af7b45a522d09019cfeaca	0	na	na
git-diff-check	git diff --check SOURCE..HEAD	f4d56693cf5153ee5881c19837469ad6318ad202	0	sha256:e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	na	na
docker-build	docker compose build --no-cache verify test lint agent	f4d56693cf5153ee5881c19837469ad6318ad202	0	sha256:92543b76cce3f8ba08c34b12b228742507dca6b2bdccef57d1ac4a8c3196b8dc	0	sha256:30c8c192bf3b89dc6d1e5c24abfaaf8602e3fd82c3dd89eac4fe74527df34706	sha256:8e01a7a60dfb38b02175563d565365f804c67b56a8322757875740d3ef2a4aa0
docker-test	docker compose run --rm test	f4d56693cf5153ee5881c19837469ad6318ad202	0	sha256:ae391256e41ba633b63ac4d3c05cf9167579527d2ff97a7f218b96815cfd6c58	0	sha256:30c8c192bf3b89dc6d1e5c24abfaaf8602e3fd82c3dd89eac4fe74527df34706	sha256:8e01a7a60dfb38b02175563d565365f804c67b56a8322757875740d3ef2a4aa0
docker-lint	docker compose run --rm lint	f4d56693cf5153ee5881c19837469ad6318ad202	0	sha256:293d74abba1abf1c3ee1517c45c4bb5dd3bb1a226567adfdf83269239f178eb8	0	sha256:30c8c192bf3b89dc6d1e5c24abfaaf8602e3fd82c3dd89eac4fe74527df34706	sha256:8e01a7a60dfb38b02175563d565365f804c67b56a8322757875740d3ef2a4aa0
docker-verify	docker compose run --rm verify	f4d56693cf5153ee5881c19837469ad6318ad202	0	sha256:1fb0827f2be5cd798be6907515adeab5247cf5cacba9afd6a0fff59565fb3a59	0	sha256:30c8c192bf3b89dc6d1e5c24abfaaf8602e3fd82c3dd89eac4fe74527df34706	sha256:8e01a7a60dfb38b02175563d565365f804c67b56a8322757875740d3ef2a4aa0
