fixture_id	generated-placeholder
expected_error	generated placeholder is not evidence
actual_terminal	completed
claimed_terminal	completed
duration_seconds	900
decision_span_seconds	700
decision_count	8
useful_decision_count	5
progress_decision_count	3
required_check_count	5
passed_check_count	5
command_exit	0
test_count	4
skipped	false
generated_placeholder	true
raw_artifact_count	8
snapshot_method	sqlite-online-backup
source_commit	1111111111111111111111111111111111111111
scenario_fingerprint	sha256:1111111111111111111111111111111111111111111111111111111111111111
