injection_id	boundary	outcome	advance_ms
store-prepared	after.prepared-effect	process-crash	100
store-renamed	after.atomic-rename	database-settlement-failure	200
endpoint-timeout	after.provider-request	timeout	1000
endpoint-output-limit	after.provider-response	output-limit	2000
endpoint-invalid	after.provider-response	invalid-envelope	3000
context-source-change	before.context-render	source-fingerprint-change	100
context-owner-conflict	before.context-render	owner-conflict	100
tool-native-error	after.tool-admission	native-tool-error	250
daemon-restart	after.artifact-unit	process-restart	5000
tui-resize-burst	during.terminal-render	rapid-resize	25
