command: python3 tmp/lkjagent-yolo-amplified-thinking-packet-20260708/11-scripts/prompt_context_lint.py .
started: 20260709T051448Z
tmp/coding-agent-runs/20260707T053900Z-tui-finish/live/live-data-900/structured-artifact/logs/case-1/decision-case-1-decision-0007/prompt-frame.json:1: json-like prompt context
tmp/coding-agent-runs/20260707T053900Z-tui-finish/live/live-data-900/structured-artifact/logs/case-1/decision-case-1-decision-0003/prompt-frame.json:1: json-like prompt context
tmp/coding-agent-runs/20260707T053900Z-tui-finish/live/live-data-900/structured-artifact/logs/case-1/decision-case-1-decision-0004/prompt-frame.json:1: json-like prompt context
tmp/coding-agent-runs/20260707T053900Z-tui-finish/live/live-data-900/structured-artifact/logs/case-1/decision-case-1-decision-0006/prompt-frame.json:1: json-like prompt context
tmp/coding-agent-runs/20260707T053900Z-tui-finish/live/live-data-900/structured-artifact/logs/case-1/decision-case-1-decision-0001/prompt-frame.json:1: json-like prompt context
tmp/coding-agent-runs/20260707T053900Z-tui-finish/live/live-data-900/structured-artifact/logs/case-1/decision-case-1-decision-0005/prompt-frame.json:1: json-like prompt context
tmp/coding-agent-runs/20260707T053900Z-tui-finish/live/live-data-900/structured-artifact/logs/case-1/decision-case-1-decision-0008/prompt-frame.json:1: json-like prompt context
tmp/coding-agent-runs/20260707T053900Z-tui-finish/live/live-data-900/structured-artifact/logs/case-1/decision-case-1-decision-0002/prompt-frame.json:1: json-like prompt context
tmp/coding-agent-runs/20260707T053900Z-tui-finish/live/live-data-900/personal-workspace/logs/case-1/decision-case-1-decision-0001/prompt-frame.json:1: json-like prompt context
tmp/coding-agent-runs/20260707T053900Z-tui-finish/live/live-data-900/personal-workspace/logs/case-1/decision-case-1-decision-0003/prompt-frame.json:1: json-like prompt context
tmp/coding-agent-runs/20260707T053900Z-tui-finish/live/live-data-900/software-project/logs/case-1/decision-case-1-decision-0002/prompt-frame.json:1: json-like prompt context
tmp/coding-agent-runs/20260707T053900Z-tui-finish/live/live-data-900/software-project/logs/case-1/decision-case-1-decision-0001/prompt-frame.json:1: json-like prompt context
