metric	value
database_sha256	eb5ec0fbc66037692de0e30abba59c60fd67f281b43cbc0009c0c92d3e00a9ba
count.tasks	3
count.steps	13
count.runtime_decisions	10
count.provider_exchanges	6
count.tool_admissions	0
count.observations	0
count.artifacts	0
count.workspace_records	0
case2.state	blocked
case2.summary_sha256	1dabe6304636875362152fe1d7b29a9cd32f72bcecc35924dae492626d7ad741
case2.active_write_attempts	2
case2.active_write_path	./history_narrative.md
case2.decision_sequence	model.call/2001:900,model.call/2004:768,recovery.handle/endpoint/case-2-decision-0002/0:none,model.call/2004:768,completion.blocked:none
case2.output_cap_failures	2
case2.same_output_cap_diagnosis	true
case2.output_cap_marker	true
case2.failure_1_sha256	43096a586a88b0bf12f5a9d7c9fb91dfe7d397749d46172ed375f1482a1f9690
case2.failure_2_sha256	43096a586a88b0bf12f5a9d7c9fb91dfe7d397749d46172ed375f1482a1f9690
